Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
MSN;CCF;ZC;;;Avances aux collectivités territoriales;AvancesColloc
PGM;CCF;832;ZC;21;Avances aux collectivités et établissements publics, et à la Nouvelle-Calédonie;Avances aux collectivités
ACT;CCF;832-01;;;Avances de l'article L. 2337-1 du code général des collectivités territoriales;
ACT;CCF;832-02;;;Avances de l'article 14 de la loi n° 46-2921 du 23 décembre 1946 et de l'article L. 2237-2 du code général des collectivités territoriales;
ACT;CCF;832-03;;;Avances de l'article 34 de la loi n° 53-1336 du 31 décembre 1953 (avances spéciales sur recettes budgétaires);
ACT;CCF;832-04;;;Avances à la Nouvelle-Calédonie, au titre de la fiscalité du nickel;
PGM;CCF;833;ZC;07;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;AvancesImpoColloc&Divers
ACT;CCF;833-01;;;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;
ACT;CCF;833-02;;;Avances aux départements sur le produit de la taxe intérieure de consommation sur les produits pétroliers;
ACT;CCF;833-03;;;Avances aux départements sur les frais de gestion de la taxe foncière sur les propriétés bâties;
ACT;CCF;833-04;;;Avances aux régions sur les frais de gestion de la contribution foncière des entreprises (CFE), de la contribution sur la valeur ajoutée des entreprises (CVAE) et de la taxe d'habitation (TH) et sur le produit de la taxe intérieure de consommation sur les produits énergétiques (TICPE);
MSN;CAS;YK;;;Financement des aides aux collectivités pour l'électrification rurale;FACÉ
PGM;CAS;793;YK;23;Électrification rurale;Électrification rurale
ACT;CAS;793-06;;;Sécurisation des fils nus (hors faible section);Sécur fils nus (HFS)
ACT;CAS;793-03;;;Renforcement des réseaux;
ACT;CAS;793-04;;;Extension des réseaux;
ACT;CAS;793-05;;;Enfouissement et pose en façade;Enfouiss & pose en façade
ACT;CAS;793-07;;;Sécurisation des fils nus de faible section;Sécur fils nus (FS)
ACT;CAS;793-08;;;Fonctionnement;
ACT;CAS;793-09;;;Déclaration d'utilité publique (Très haute tension);Déclar utilité pub (THT)
ACT;CAS;793-10;;;Intempéries;
PGM;CAS;794;YK;23;Opérations de maîtrise de la demande d’électricité, de production d’électricité par des énergies renouvelables ou de production de proximité dans les zones non interconnectées;maîtrise dmde électricité
ACT;CAS;794-02;;;Sites isolés;
ACT;CAS;794-03;;;Installations de proximité en zone non interconnectée;Inst prox zone non interc
ACT;CAS;794-04;;;Maîtrise de la demande d'énergie;Maîtrise demande énergie
ACT;CAS;794-05;;;Déclaration d'utilité publique (Très haute tension) - (Engagements antérieurs au 1er janvier 2013);Déclar THT avant 01-2013
ACT;CAS;794-06;;;Intempéries - (Engagements antérieurs au 1er janvier 2013);Intempéries avant 01-2013
MSN;BG;VA;;;Cohésion des territoires;CohésionTerritoires
PGM;BG;112;VA;45;Impulsion et coordination de la politique d'aménagement du territoire;ImpulCoorPolAmgtTerrit
ACT;BG;112-11;;;FNADT section locale;
SSA;BG;112-11-01;;;CPER 2007-2014;CPER 2007-2014
SSA;BG;112-11-02;;;CPER 2015-2020;CPER 2015-2020
SSA;BG;112-11-03;;;Contrats de convergence et de transformation;CCT
SSA;BG;112-11-04;;;Pactes de développement territorial;Pactes dvpmt territorial
ACT;BG;112-12;;;FNADT section générale;
SSA;BG;112-12-01;;;Soutien au développement des territoires;Soutien dvpmt des territ.
SSA;BG;112-12-02;;;Accès aux services;Accès aux services
SSA;BG;112-12-03;;;Fonctionnement;Fonctionnement
ACT;BG;112-13;;;Soutien aux Opérateurs;
SSA;BG;112-13-01;;;SCSP de l'Agence nationale de la cohésion des territoires;SCSP ANCT
SSA;BG;112-13-02;;;Prospective, évaluation et autres études;Prospective, éval. études
SSA;BG;112-13-03;;;Subventions aux organismes et partenaires du réseau ANCT;Subv partenaires réseau
SSA;BG;112-13-04;;;Certification, assistance technique et participation aux programmes de coopération;Certif ATech partcip coop
