Bénéficiaire,Adresse,Descriptif,Montant,Nom,Prénom,Département,Groupe,"Programme budgétaire",ID_Acteur
"A.C. Saint-Robert- club de football N° d'affiliation FFF: 518964 ","Saint Robert      97123 Baillif","Dépenses équipements sportifs",5000.00,"VAINQUEUR-CHRISTOPHE ",Hélène,Guadeloupe,SRC,219-01,PA643145
"A.C.C.A Barriac les Bosquets",,Fonctionnement,2000.00,MARLEIX,Alain,Cantal,UMP,113-01,PA2084
"A.C.C.A Meallet",,Fonctionnement,3000.00,MARLEIX,Alain,Cantal,UMP,113-01,PA2084
A.C.C.A,,Fonctionnement,5000.00,MARLEIX,Alain,Cantal,UMP,113-07,PA2084
"A.C.C.A de Cette-Eygun","""Mairie
64490 CETTE-EYGUN""","Fonctionnement ",2000.00,LASSALLE,Jean,Pyrénées-Atlantiques,NI,113-07,PA1838
A.C.C.C,,Fonctionnement,3000.00,PALETTI,Bérengère,Ardennes,UMP,224-02,PA267260
"A.C.E.L des Ternes",,Fonctionnement,4000.00,DEBRE,Bernard,Paris,UMP,230-01,PA1020
"A.D.E.T.H.E. Services",,Fonctionnement,1000.00,PANIATOWSKI,Axel,Val-d'Oise,UMP,157-01,PA267886
A.D.P.S.P,,Fonctionnement,1000.00,FASQUELLE,Daniel,Pas-de-Calais,UMP,102-02,PA334149
A.F.T.C,,Fonctionnement,1000.00,LAMBLIN,Jacques,Meurthe-et-Moselle,UMP,157-01,PA267551
"A.F.T.C de Franche-Comté",,Fonctionnement,1000.00,SERMIER,Jean-Marie,Jura,UMP,157-01,PA267204
A.I.R.S.,"c/o Raphaël Goma - 67, rue Félix Merlin - 93800 Epinay-sur-Seine",Fonctionnement,10000.00,"Groupe SRC",,"*(non rattaché à un département)",,,NULL
A.J.P,,Fonctionnement,1500.00,CHERPION,Gérard,Vosges,UMP,224-02,PA856
"A.L.C - C.A.L.C",,Fonctionnement,2500.00,DECOOL,Jean-Pierre,Nord,UMP,219-01,PA267762
"A.N.A.C.R  Cluses",,Fonctionnement,1000.00,DION,Sophie,Haute-Savoie,UMP,169-03,PA608851
"A.P.A.F.E.D Association pour l'Accueil des Femmes en Difficulté","""51 rue de la Porte Dijeaux 
33OOO BORDEAUX""",Fonctionnement,40000.00,LACUEY,Conchita,Gironde,SRC,137-12,PA1789
"A.P.E Entraide de la Figonne",,Fonctionnement,2000.00,BOYER,Valérie,Bouches-du-Rhône,UMP,106-03,PA330684
"A.P.E La Pradélie",,Fonctionnement,1000.00,MARC,Alain,Aveyron,UMP,214-01,PA267512
A.P.E.E.E.,"92 rue du Docteur Bauer - 93400 Saint-Ouen",Fonctionnement,10000.00,"Groupe SRC",,"*(non rattaché à un département)",,,NULL
"A.P.E.L de l'école Saint-Joseph",,Fonctionnement,2500.00,DECOOL,Jean-Pierre,Nord,UMP,214-01,PA267762
"A.P.E.L du Saint Affricain",,Fonctionnement,1000.00,MARC,Alain,Aveyron,UMP,214-01,PA267512
"A.P.E.L Marie Immaculée",,Fonctionnement,1000.00,MARC,Alain,Aveyron,UMP,214-01,PA267512
"A.P.E.M.R.D 
""",,Fonctionnement,1000.00,DECOOL,Jean-Pierre,Nord,UMP,106-03,PA267762
"A.P.F ",,Fonctionnement,1500.00,GIRAN,Jean-Pierre,Var,UMP,157-01,PA1483
A.P.I.J,,Fonctionnement,3000.00,SALEN,Paul,Loire,UMP,224-02,PA2664
A.P.L.S,,Fonctionnement,2000.00,GERARD,Bernard,Nord,UMP,204-11,PA1459
A.P.P.V.P.A,,Fonctionnement,3000.00,GUAINO,Henri,Yvelines,UMP,224-02,PA609365
A.P.R.E.,,Fonctionnement,1000.00,PANIATOWSKI,Axel,Val-d'Oise,UMP,175-01,PA267886
"A.R.B.R.E. (Association de Restinclières et Beaulieu pour le Respect de l'Environnement)","""2 rue des Chênes
34160 BEAULIEU""",Fonctionnement,1000.00,"DOMBRE COSTE",Fanny,Hérault,SRC,113-01,PA606573
A.R.E.J.,,Fonctionnement,1000.00,PANIATOWSKI,Axel,Val-d'Oise,UMP,175-01,PA267886
"A.R.T.S Paillettes 2000",,Fonctionnement,1000.00,GUIBAL,Jean-Claude,Alpes-Maritimes,UMP,131-01,PA1574
"A.S Neunkirch",,Fonctionnement,3000.00,LETT,Céleste,Moselle,UMP,219-01,PA267057
"A.S. Collège Sisley","c/o M. Joachim Guechoud - 60 quai de la Marine - 93450 L'Île-Saint-Denis",Fonctionnement,5000.00,"Groupe SRC",,"*(non rattaché à un département)",,,NULL
"A.S. La Madeleine Football",,Fonctionnement,23000.00,PRIOU,Christophe,Loire-Atlantique,UMP,219-01,PA267728
A.S.A.L,,Fonctionnement,2000.00,SERMIER,Jean-Marie,Jura,UMP,219-01,PA267204
A.S.I.A.,"""BP 1128 
97500 SAINT-PIERRE ET MIQUELON""","Réhabilitation des vestiaires du club",30000.00,GIRARDIN,Annick,Saint-Pierre-et-Miquelon,RRDP,219-01,PA337633
A.S.M.,"""BP 8646 
97500 MIQUELON""","Aménagement de structures d'accueil pour les sportifs",45000.00,GIRARDIN,Annick,Saint-Pierre-et-Miquelon,RRDP,219-01,PA337633
"A.S.P Ensemble",,Fonctionnement,1500.00,CHERPION,Gérard,Vosges,UMP,204-11,PA856
A.T.O.S,,Fonctionnement,1000.00,GUILLOTEAU,Christophe,Rhône,UMP,219-01,PA267499
A.V.B.,,"Développement des activités de formation",10000.00,FOURNIER-ARMAND,Michèle,Vaucluse,SRC,163-01,PA609691
"AAPEL Autonomie","16340 L'Isle d'Espagnac","Fonctionnement ",6000.00,PINVILLE,Martine,Charente,SRC,204-11,PA330981
"AAPMA La truite du Val d'Amour",,Fonctionnement,1000.00,SERMIER,Jean-Marie,Jura,UMP,205-06,PA267204
AAPPMA,,Fonctionnement,1000.00,WARSMANN,Jean-Luc,Ardennes,UMP,205-06,PA2952
"AAPPMA de Dinsheim-sur-Bruche",,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,UMP,219-01,PA266774
"AAPPMA La carpe du Valois",,Fonctionnement,1000.00,DEGAUCHY,Lucien,Oise,UMP,205-06,PA1031
"AAPPMA La Truite du Lignon","""M. Olivier BALME
Bel Air
1, chemin du Plateau
43400 - Le Chambon sur Lignon""","Élagage au bord des rivières",1000.00,WAUQUIEZ,Laurent,Haute-Loire,UMP,205-06,PA267285
AAVIV,,Fonctionnement,5000.00,LEVY,Geneviève,Var,UMP,101-03,PA267378
"ABA Attitude",,Fonctionnement,1000.00,FOULON,Yves,Gironde,UMP,157-01,PA606478
"ABC – Association Becquart - Canon d'Or",,Fonctionnement,1000.00,DAUBRESSE,Marc-Philippe,Nord,UMP,134-02,PA1001
"ABC Bibliothèque",,Fonctionnement,2000.00,BARBIER,Jean-Pierre,Isère,UMP,224-02,PA606888
"ABC InterSports",,Fonctionnement,3000.00,GIBBES,Daniel,"Saint-Barthélemy et Saint-Martin",UMP,219-01,PA610830
ABSM,,Fonctionnement,6000.00,GIBBES,Daniel,"Saint-Barthélemy et Saint-Martin",UMP,219-01,PA610830
ACAC,,Fonctionnement,1500.00,GUAINO,Henri,Yvelines,UMP,134-02,PA609365
"Académie d'Aïkido d'Echalas",,Fonctionnement,1000.00,FENECH,Georges,Rhône,UMP,219-01,PA267591
"Académie de Boxe ""Rachid El Hadak""","7, rue Colette 42100 SAINT-ETIENNE","Aménagement de la salle et organisation de combats et de stages pour les jeunes de l'académie",10000.00,JUANICO,Régis,Loire,SRC,219-01,PA332614
ACAJA,,Fonctionnement,8000.00,DEBRE,Bernard,Paris,UMP,134-02,PA1020
ACAPLM,,Fonctionnement,2000.00,BOYER,Valérie,Bouches-du-Rhône,UMP,134-02,PA330684
"ACB Escrime, Présidente Mme Mauricette Lefevre"," 93000 Bobigny","Dépenses de fonctionnement",4000.00,"LAGARDE Jean-Christophe",,Seine-Saint-Denis,UDI,,PA268019
ACCA,,Fonctionnement,1000.00,PELISSARD,Jacques,Jura,UMP,113-07,PA2345
ACCA,,Fonctionnement,1000.00,SIRE,Fernand,Pyrénées-Orientales,UMP,113-07,PA344492
"ACCA Boisset Saint Priest",,Fonctionnement,500.00,CINIERI,Dino,Loire,UMP,113-07,PA267429
"ACCA de Beaulieu","""M. Serge FAYOLLE
Arthus
43800 - Beaulieu""","Aménagement local chasseurs",1000.00,WAUQUIEZ,Laurent,Haute-Loire,UMP,113-07,PA267285
"ACCA de Chambles",,Fonctionnement,500.00,CINIERI,Dino,Loire,UMP,113-07,PA267429
"ACCA de Fontenelle",,Fonctionnement,1500.00,MESLOT,Damien,Territoire-de-Belfort,UMP,113-07,PA267327
"ACCA du Chambon","""M. Robert NOUVET
Chemin des Airelles
43400 - Le Chambon sur Lignon""","Aménagement local chasseurs",1000.00,WAUQUIEZ,Laurent,Haute-Loire,UMP,113-07,PA267285
"ACCA Menton",,Fonctionnement,1000.00,GUIBAL,Jean-Claude,Alpes-Maritimes,UMP,113-07,PA1574
"ACCA St Sauveur","""Mr Serge Raynaud Président de l’ACCA
Desteau 27 rte Pin Franc 
33250 St Sauveur
""","Aide à la réhabilitation d'un local",2500.00,GOT,Pascale,Gironde,SRC,113-07,PA331973
"ACCA Tarentaise",,Fonctionnement,500.00,CINIERI,Dino,Loire,UMP,113-07,PA267429
"ACCA VINCA","27, bis Route de Rigarda 66320 VINCA","Achat débroussalleuse ",3000.00,NEUVILLE,Ségolène,Pyrénées-Orientales,SRC,113-07,PA608328
"ACCA Yssingeaux","""M. Michel SARDA
La Croix de Montchaud
43200 - YSSINGEAUX""","Fête de la chasse et du terroir",1000.00,WAUQUIEZ,Laurent,Haute-Loire,UMP,113-07,PA267285
ACCES,,Fonctionnement,2000.00,GERARD,Bernard,Nord,UMP,224-02,PA1459
"Acceuil culture et patrimoine",,Fonctionnement,1000.00,CINIERI,Dino,Loire,UMP,224-02,PA267429
"Accompagnement de chercheurs d'emplois (ACE)",,Fonctionnement,1000.00,DEBRE,Bernard,Paris,UMP,102-01,PA1020
"Accompagnement Migrant Intégration",,"Aide à l'intégration des personnes étrangères : hébergement, achat de denrées, frais de déplacement permettant l'accès à des emplois dans le domaine du maraîchage.",5000.00,"de RUGY",François,Loire-Atlantique,ECOLO,177-11,PA332747
Accords,"Didier Rey Président - ACCORDS square Albeniz 64250 Cambo les bains ","Résidence Création Cyrano de Bergerac avec Cie de Paris sur Camboet Louhossoa",2000.00,ALAUX,Sylviane,Pyrénées-Atlantiques,SRC,224-02,PA608276
"Accueil 15","""M. Francis HOPPENOT
48, rue des Entrepreneurs
75015 - Paris""","Accueil de jour des SDF - réfection des locaux",2000.00,LAMOUR,Jean-François,Paris,UMP,177-11,PA230329
"Accueil des Charmilles","71000 Mâcon",Fonctionnement,10000.00,THÉVENOUD,Thomas,Saône-et-Loire,SRC,204-11,PA608672
"Accueil des villes française Paris 17+8+9",,Fonctionnement,4000.00,DEBRE,Bernard,Paris,UMP,224-02,PA1020
"Accueil des villes françaises","""Mme BOURDIAUX
55, rue Desnouettes
75015 - Paris""","Achat de matériel informatique",2000.00,LAMOUR,Jean-François,Paris,UMP,177-11,PA230329
"Accueil femme solidarités"," 312 06000 NICE","Dépenses de fonctionnement",1000.00,"SALLES Rudy ",,Alpes-Maritimes,UDI,,PA2667
"Accueil Femmes Solidarité",,Fonctionnement,2500.00,CIOTTI,Eric,Alpes-Maritimes,UMP,106-03,PA330240
ACE,,Fonctionnement,2000.00,GUAINO,Henri,Yvelines,UMP,102-02,PA609365
"ACEL Notre Dame de Bonne Nouvelle",,Fonctionnement,1500.00,LELLOUCHE,Pierre,Paris,UMP,163-01,PA1931
"ACEPP 38-73","""132, impasse des Hortensias 
38430 Moirans""","Développer toutes actions en faveur de l'accueil des jeunes enfants",3000.00,BONNETON,Michèle,Isère,ECOLO,106-01,PA606910
"ACEPP 38-73 Association des Collectifs Enfants Parents Isère-Savoie","""132 impasse des Hortensias 
38430 Saint-Jean-de-Moirans""","Subvention de fonctionnement",3000.00,ISSINDOU,Michel,Isère,SRC,163-01,PA332384
ACE'TELLE,,Fonctionnement,1000.00,MESLOT,Damien,Territoire-de-Belfort,UMP,219-01,PA267327
ACEVE,,Fonctionnement,2000.00,LEVY,Geneviève,Var,UMP,230-01,PA267378
ACJBB,,Fonctionnement,19000.00,SOLERE,Thierry,Hauts-de-Seine,UMP,224-02,PA346876
"ACL de Zimmersheim","""Mme Christiane STUDTER, Présidente
5, rue de l'Ecole 
68440 ZIMMERSHEIM""",Fonctionnement,1000.00,GROSSKOST,Arlette,Haut-Rhin,UMP,224-02,PA267227
ACLER,,Fonctionnement,2000.00,GUAINO,Henri,Yvelines,UMP,224-02,PA609365
ACMRB,,"Soutien scolaire",5000.00,"RIHAN CYPEL",Eduardo,Seine-et-Marne,SRC,224-02,PA609292
"ACO Firminy",,Fonctionnement,1000.00,CINIERI,Dino,Loire,UMP,219-01,PA267429
"ACPG-CATM et Veuves",,Fonctionnement,1000.00,DEGAUCHY,Lucien,Oise,UMP,169-03,PA1031
ACPIIE,"75013 Paris","Produire, diffuser et soutenir une information originale, libre, complète, indépendante et impartiale dans le domaine de l'énergie",4000.00,BAUPIN,Denis,Paris,ECOLO,217-01,PA609016
"ACPPC Prouvençau de Cavaillon",,Fonctionnement,2000.00,BOUCHET,Jean-Claude,Vaucluse,UMP,175-07,PA336316
"ACS gym",,fonctionnement,1000.00,BATTISTEL,Marie-Noëlle,Isère,SRC,219-01,PA342415
"ACS Herserange","""Mairie 
Rue de Paris
54440 HERSERANGE""","Éclairage du stade de football",5000.00,ECKERT,Christian,Meurthe-et-Moselle,SRC,219-01,PA1243
ACSFIRT,,Fonctionnement,3000.00,LEVY,Geneviève,Var,UMP,224-02,PA267378
ACSFIRT,,Fonctionnement,3000.00,VITEL,Philippe,Var,UMP,224-02,PA267506
"ACSSE - Association Culturelle Sportive et Sociale d'Ergersheim",,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,UMP,224-02,PA266774
ACT,"BP 10 place St Christoly 33000 Bordeaux","aide à l'intervention auprès de la Mission locale de Blaye",1000.00,PLISSON,Philippe,Gironde,SRC,102-02,PA2430
"Acta Johannis",,Fonctionnement,3500.00,LELLOUCHE,Pierre,Paris,UMP,224-02,PA1931
"Acte 2 Théâtre","""32 quai Arloing
69009 Lyon""",fonctionnement,7000.00,MUET,Pierre-Alain,Rhône,SRC,131-01,PA334755
"Actifs Pitchoun",,Fonctionnement,1000.00,COUVE,Jean-Michel,Var,UMP,106-03,PA951
"Action 15 Balard",,Fonctionnement,3000.00,GOUJON,Philippe,Paris,UMP,224-02,PA1521
"Action Jeune","2, rue Saint Just 75017 Paris","Création d'un module de formation et de concours BAFA à destination des jeunes de la Porte de St Ouen et de la Porte de Clichy en situation d'insertion",9000.00,LEPETIT,Annick,Paris,SRC,163-02,PA267965
"Action Sociale Mulatine",,Fonctionnement,5000.00,TERROT,Michel,Rhône,UMP,177-11,PA2801
"Action XV Balard","""Mme Hujah CEESAY
138 avenue Félix Faure – Bât. C
75015 - Paris""","Organisation d'un tournoi intergénérationnel",2000.00,LAMOUR,Jean-François,Paris,UMP,219-01,PA230329
"Active ton potentiel ",,Fonctionnement,3500.00,LELLOUCHE,Pierre,Paris,UMP,219-01,PA1931
"Ad Libitum","""Chemin Combe du Moulin 
38210 Cras""",Fonctionnement,2000.00,BONNETON,Michèle,Isère,ECOLO,224-02,PA606910
"ADAC Montorgueil",,Fonctionnement,3000.00,LELLOUCHE,Pierre,Paris,UMP,134-02,PA1931
"ADACAR de l’Alta Rocca ",,Fonctionnement,2000.00,"de ROCCA SERRA",Camille,Corse-du-Sud,UMP,224-02,PA267689
ADAFE,,Fonctionnement,3000.00,WARSMANN,Jean-Luc,Ardennes,UMP,224-02,PA2952
"ADAPA DU CONFOLENTAIS","Allée des Frêniers - BP63 16500 CONFOLENS ","Acquisition matériel pour livraison repas à domicile",2500.00,LAMBERT,Jérôme,Charente,SRC,157-05,PA1809
"ADAPEI - Esat Les Iris",,Fonctionnement,20000.00,ERRANTE,Sophie,Loire-Atlantique,SRC,102-02,PA607193
"ADAPEI du Pays de Montbéliard",,Fonctionnement,5000.00,BONNOT,Marcel,Doubs,UMP,157-01,PA267576
ADAPIC,"""19, bis rue Alexandre Dumas 
80096 Amiens cedex 3""","Concourir par tous moyens au développement de l'apiculture en Picardie",1000.00,PAMPILI,Barbara,Somme,ECOLO,217-01,PA609520
"ADATE – Migration Equité Interculturalité","""Madame Gisèle PEREZ
5 place Sainte-Claire
38000 GRENOBLE""","""Publication de la revue """"écarts d'identité""""""",3000.00,ISSINDOU,Michel,Isère,SRC,224-02,PA332384
"ADCLJC ","""76 rue Philippe de Girard
75018 Paris""","Mise en place d'un dispositif d'accompagnement à l'insertion professionnelle pour des jeunes de 16 à 25 ans,soumis à des obligations dans le cadre d'un controle judiciaire ou un sursis mis à l'épreuve dans la Zone de sécurité prioritaire de la Goutte d'or-Château Rouge.",15000.00,VAILLANT,Daniel,Paris,SRC,182-03,PA2859
"ADCPG-CATM ","""Hôtel de ville 
76530 Grand Couronne""","acquisition de matériel",3000.00,BACHELAY,Guillaume,Seine-Maritime,SRC,113-07,PA642987
"ADEF Association de Développement des Emplois Familiaux",,Fonctionnement,10000.00,"Groupe SRC",,"*(non rattaché à un département)",,204-11,NULL
ADELI,"312 rue de l'Industrie 64500 SAINT-JEAN-DE-LUZ",,2000.00,ALAUX,Sylviane,Pyrénées-Atlantiques,SRC,113-07,PA608276
ADEPAPE,,Fonctionnement,2000.00,LEVY,Geneviève,Var,UMP,106-03,PA267378
ADESCA,"38, rue Salvador Allende - 93400 Saint-Ouen",Fonctionnement,10000.00,"LE ROUX ",Bruno,Seine-Saint-Denis,,,PA1886
"Ad'hoc Production","""Maison d'école  
30140 Tornac""","Favoriser l'expression citoyenne de proximité",6000.00,CAVARD,Christophe,Gard,ECOLO,313-03,PA606258
ADICOME,"Le Mail bat E - 12 rue des Gardians - 13014 Marseille",Fonctionnement,2000.00,JIBRAYEL,Henri,Bouches-du-Rhône,SRC,224-02,PA330613
"ADIEU VAT","Fond de curé             97137 Terre-de-Haut","Dépenses équipements sportifs",5000.00,"VAINQUEUR-CHRISTOPHE ",Hélène,Guadeloupe,SRC,219-01,PA643145
"ADIF 79","Les Iles 79410 Echiré","actionspour la mémoire de la déportation résistante",3000.00,DRAPEAU,Jean-Luc,Deux-Sèvres,SRC,163-02,PA345994
ADIRA,"""Les Brunes 
12340 - Bozouls""",Fonctionnement,1000.00,CENSI,Yves,Aveyron,UMP,157-01,PA267266
Adis,"""22, rue des Tilleuls
44880 Sautron""","Développement par l'intégration solidaire ",4000.00,"de RUGY",François,Loire-Atlantique,ECOLO,304-13,PA332747
Aditus,"""5, rue Taylor 
75010 Paris""",Fonctionnement,2000.00,DAGOMA,Seybah,Paris,SRC,177-11,PA608920
ADMR,,Fonctionnement,3000.00,FASQUELLE,Daniel,Pas-de-Calais,UMP,157-05,PA334149
ADMR,,Fonctionnement,10000.00,"LE CALLENNEC",Isabelle,Ille-et-Vilaine,UMP,157-05,PA606693
ADMR,,Fonctionnement,1000.00,PELISSARD,Jacques,Jura,UMP,106-03,PA2345
ADMR,"""Grand Place du Marché
04240 ANNOT""","Renouvellement et achat de matériel informatique",4000.00,SAUVAN,Gilbert,Alpes-de-Haute-Provence,SRC,157-05,PA2693
"ADMR BUZANCY",,Fonctionnement,1000.00,WARSMANN,Jean-Luc,Ardennes,UMP,157-05,PA2952
"ADMR de Corps",,"action de maibntien à domicile",3000.00,BATTISTEL,Marie-Noëlle,Isère,SRC,157-05,PA342415
"ADMR Les 3 vallées",,Fonctionnement,1000.00,CINIERI,Dino,Loire,UMP,157-05,PA267429
"ADMR Nérac","12 rue François Baudy - 47600 NERAC","Subvention (achat véhicule)",5000.00,LOUSTEAU,Lucette,Lot-et-Garonne,SRC,157-05,PA607283
"ADMR Portes de l'Isère",,Fonctionnement,1000.00,MOYNE-BRESSAND,Alain,Isère,UMP,157-05,PA2250
"ADMR SEDAN",,Fonctionnement,1000.00,WARSMANN,Jean-Luc,Ardennes,UMP,157-05,PA2952
"ADOC 94",,Fonctionnement,3000.00,HERBILLON,Michel,Val-de-Marne,UMP,204-14,PA1630
"ADOCCE 28","28000 Chartes","aide au fonctionnement : activités culturelles,  pédagogiques ...",1500.00,VIGIER,Philippe,Eure-et-Loir,UDI,,PA331582
ADOS,"""26 rue Polonceau
75018 Paris ""","Développer l'accueil du soir pour un public jeune mixte de 12 à 17 ans ",15000.00,VAILLANT,Daniel,Paris,SRC,163-04,PA2859
"ADP - Chapelle de l'Agneau de Dieu","2, place Henri Frenay 75012 Paris","réfection de l'orgue",10000.00,BLOCHE,Patrick,Paris,SRC,224-02,PA543
"ADPC 83 (Association Départementale Protection Civile)",,Fonctionnement,3000.00,LEVY,Geneviève,Var,UMP,128-02,PA267378
ADPEIBA,,Fonctionnement,1000.00,FOULON,Yves,Gironde,UMP,157-01,PA606478
ADPPS,""" Mme SCHARTIER
5 rue de l'Harmonie
75015 - Paris""","Achat de matériel sportif",1500.00,LAMOUR,Jean-François,Paris,UMP,219-01,PA230329
ADRASEC,,Fonctionnement,1000.00,SERMIER,Jean-Marie,Jura,UMP,128-02,PA267204
ADSF,,Fonctionnement,1000.00,GILARD,Franck,Eure,UMP,169-03,PA267148
"Advocacy Basse Normandie ",,Fonctionnement,3000.00,DUMONT,Laurence,Calvados,SRC,204-11,PA1198
AEIM,"AEIM-ADAPEI54 - A l'attention de Mme Coralie VINCENT - 6, Allée de Saint-Cloud - CS 90154 - 54 602 VILLERS-LES-NANCY","Parcours sensoriel pour les personnes en situation de handicap mental",10000.00,FERON,Hervé,Meurthe-et-Moselle,SRC,157-01,PA333335
"AEP NDC Montparnasse Rencontres","75014 Paris","Soutenir et favoriser les actions ou activités d’Education Populaire",2000.00,BAUPIN,Denis,Paris,ECOLO,163-02,PA609016
AEPB,,Fonctionnement,7000.00,GUAINO,Henri,Yvelines,UMP,163-02,PA609365
"Aero Club",,Fonctionnement,1000.00,MOYNE-BRESSAND,Alain,Isère,UMP,219-01,PA2250
"AERO CLUB d'Issoudun","Aérodrome Le Fay - 36100 ST AUBIN","Organisation des 7ème Championnats du Monde de Vol à Voile Féminins en 2013",4000.00,BRUNEAU,Isabelle,Indre,SRC,219-01,PA606745
"Aéroclub de Crépy Feigneux",,Fonctionnement,1000.00,DEGAUCHY,Lucien,Oise,UMP,219-01,PA1031
"Aéroclub de Valberg",,Fonctionnement,2000.00,GINESY,Charles-Ange,Alpes-Maritimes,UMP,219-01,PA267680
"Aéroclub du Haut-Bugey",,Fonctionnement,1000.00,ABAD,Damien,Ain,UMP,219-01,PA605036
"AFAC ","""6 impasse Château de la Reynerie 
Apt 252, 
31000 Toulouse""","Permanences d'écrivain public à la Maison d'Arrêt de Seysses",2000.00,LEMORTON,Catherine,Haute-Garonne,SRC,224-02,PA331753
AFAV,"91170 Viry Châtillon","Connaître et faire connaître les cultures françaises et africianes, intégration",2500.00,SAS,Eva,Essonne,ECOLO,104-12,PA610002
"AFBTAR Tel-Aviv","43/11 rue Shimon Hatarsi, 62492 Tel-Aviv, Israël","""Equipement médical et technique pour des enfants handicapés """,21320.00,PAZNANSKI-BENHAMOU,Daphna,"Français établis hors de France",SRC,151-01,PA610954
"AFC Perpignan","""HLM Champs de Mars, 
bât 7 esc2 appt 371 
66000 Perpignan""","projet éducatif",4000.00,CRESTA,Jacques,Pyrénées-Orientales,SRC,219-01,PA608310
AFCM,"""2 rue Christophe Colomb
37000 TOURS""","Action insertion Femmes des quartiers",10000.00,GILLE,Jean-Patrick,Indre-et-Loire,SRC,137-14,PA332305
"AFDI Bretagne","""Maison de l'Agriculture, Technopole Atalante Champeaux ,
 rue Maurice Le Lannou 
35042 Rennes cedex""","Coopération internationale entre agriculteurs",1000.00,MOLAC,Paul,Morbihan,ECOLO,209-02,PA607619
AFFE,"""Hôtel de ville 
BP81 
63150 La Bourboule""","Projets d'éducation à l'image à destination des jeunes.",3000.00,AUROI,Danielle,Puy-de-Dôme,ECOLO,163-02,PA608186
AFICH,"""10, rue jean Rancy
31000 TOULOUSE""","Organisation du Festival Cinespana",40000.00,MARTINEL,Martine,Haute-Garonne,SRC,224-02,PA331807
"Aficio Catalana","""3, place de la République 
66110 Amélie-les-Bains""","Organisation du festival des Festibanyes",1500.00,AYLAGAS,Pierre,Pyrénées-Orientales,SRC,175-04,PA608348
"AFLO D'Odratzheim",,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,UMP,224-02,PA266774
"AFN du Mont-Saxonnex ",,Fonctionnement,1000.00,SADDIER,Martial,Haute-Savoie,UMP,169-03,PA267527
"AFN Marnaz-Vougy ",,Fonctionnement,1000.00,SADDIER,Martial,Haute-Savoie,UMP,169-03,PA267527
"AFNOL - Association des Familles du Nord-Ouest de Lille",,Fonctionnement,1000.00,DAUBRESSE,Marc-Philippe,Nord,UMP,106-03,PA1001
