beneficiaire,adresse,descriptif,montant,nom,prenom,departement,groupe,programme_budgetaire,ID_Acteur
"""Drs.Bc. Léon A. DeWitte  OBE
Stichting Steun Bevrijders 1944 Walcheren la Zélande».",,"vie associative locale",2000.00,CORDERY,Philip,"Français établis hors de France","Socialiste, républicain et citoyen",185-01,PA610891
"""La clef des chants""","20 rue du Poitou
92120 MONTROUGE","Chorale Universitaire",5000.00,BLOCHE,Patrick,Paris,"Socialiste, républicain et citoyen",231-03,PA543
"""Le 93 en roue libre"" Collège Jean Jaurès","6 rue Barbara
93500 Pantin",Fonctionnement,5000.00,BARTOLONE,Claude,Seine-Saint-Denis,"Socialiste, républicain et citoyen",163-02,PA381
"06 En avant toutes",,Fonctionnement,1000.00,JACOB,Christian,Seine-et-Marne,"Les Républicains",163-01,PA1695
"100 % sport pour tous","St Just St Rambert",Fonctionnement,1000.00,CINIERI,Dino,Loire,"Les Républicains",219-01,PA267429
"1000 visages productions","Badrouline Abdallah
31 rue henri-Barbusse
91170 Viry Chatillon","Elargissement du dispositif CINETALENTS rassemblant les étapes clés de la réalisation d'un projet filmique pour des jeunes de 11 à 25 ans éloignés de l'offre culturelle jusqu'à l'accompagnement personnalisé vers la réalisation et vers une insertion professionnelle",8000.00,SAS,Eva,Essonne,Écologiste,224-02,PA610002
"10001 couleurs","5, rue Neuves des Mourinoux 92600 Asnieres","micro creche de nuit",8000.00,PIETRASANTA,Sébastien,Hauts-de-Seine,"Socialiste, républicain et citoyen",304-17,PA610075
"1001 scènes","Sury le Comtal",Fonctionnement,1000.00,CINIERI,Dino,Loire,"Les Républicains",224-02,PA267429
"101 marches et plus","8 rue de nuits
69004 Lyon","organisation de concerts de Jazz",3000.00,MUET,Pierre-Alain,Rhône,"Socialiste, républicain et citoyen",224-02,PA334755
"2 ASM","3 boulevard des Lices
13200 ARLES","Recherche archéologique sous marine",2000.00,VAUZELLE,Michel,Bouches-du-Rhône,"Socialiste, républicain et citoyen",175-09,PA2883
"2 Rives de Seine Volley Ball","1 allée des Opalines - 78570 Chanteloup les Vignes",Fonctionnement,1000.00,RICHARD,Arnaud,Yvelines,"Union des démocrates et indépendants",219-01,PA345897
"2 temps, 3 mouvements",Sérignan,"Création section danse Jazz-Ballet",1000.00,ABOUD,Élie,Hérault,"Les Républicains",224-02,PA267457
"21ème Festival des Rives et des Notes","10 rue Révol
64400 OLORON STE MARIE",Fonctionnement,3000.00,LASSALLE,Jean,Pyrénées-Atlantiques,"Députés non inscrits",131-01,PA1838
"24 Images seconde","86 quai de la Loire
75019 PARIS","former les jeunes maliens aux métiers de l'audiovisuel pour qu'ils réalisent quatre court-métrages et un documentaire sur la réconciliation et la paix",5000.00,BLOCHE,Patrick,Paris,"Socialiste, républicain et citoyen",224-02,PA543
"317ème section","LA MADELEINE","Restauration de véhicule militaire ancien",1000.00,DAUBRESSE,Marc-Philippe,Nord,"Les Républicains",167-02,PA1001
3C2V,3C2V,"Refonte réseau de sentiers de randonnées classés au PDIPR",10000.00,BONNETON,Michèle,Isère,Écologiste,122-01,PA606910
"4è Compagnie de pompiers de Santiago - Pompe France","Roberto Gofard - Santo Domingo 1495 - Santiago du Chili
directeur.4@cbs.cl / capitan.4@cbs.cl","Achat d'un nouvel engin",5000.00,CORONADO,Sergio,"Français établis hors de France",Écologiste,185-03,PA610860
"4L EN PEVELE",Ennevelin,Fonctionnement,1000.00,LAZARO,Thierry,Nord,"Les Républicains",163-01,PA1857
"4S TOURS TENNIS DE TABLE",,"Achat de tables de tennis",5000.00,GILLE,Jean-Patrick,Indre-et-Loire,"Socialiste, républicain et citoyen",219-01,PA332305
"4X4 dix huit","Ecole Simplon14 rue du Simplon 75018","Soutien de projets pour les familles du quartier Amiraux",5000.00,CARESCHE,Christophe,Paris,"Socialiste, républicain et citoyen",230-06,PA735
"630°Section des Médaillés militaires",OLLIOULES,Fonctionnement,1000.00,VITEL,Philippe,Var,"Les Républicains",167-02,PA267506
"788e Section Locale des Médaillés Militaires",SAVERNE,Fonctionnement,1000.00,HETZEL,Patrick,Bas-Rhin,"Les Républicains",169-03,PA608416
7B15,PARIS,"Organisation du salon du livre",5000.00,GOUJON,Philippe,Paris,"Les Républicains",224-02,PA1521
7B15,"M. Pierre-Gérard BAZILLOU
105, rue Mademoiselle
75015 - Paris","Organisation d'un salon littéraire",6000.00,LAMOUR,Jean-François,Paris,"Les Républicains",224-02,PA230329
"83ème avenue","14-16, place Pierre et Marie Curie
94260 Fresnes","Aide au développement d'un orpehlinat au Mali",10000.00,BRIDEY,Jean-Jacques,Val-de-Marne,"Socialiste, républicain et citoyen",209-02,PA672
9.33,"15 rue du Professeur Démons
33000 Bordeaux","Aide à l'achat de matériel pour l'organisation du Festival Regard 9",2500.00,DOUCET,Sandrine,Gironde,"Socialiste, républicain et citoyen",224-02,PA606412
"9ème Talents","45, rue de Maubeuge",Fonctionnement,1000.00,LELLOUCHE,Pierre,Paris,"Les Républicains",224-02,PA1931
"A chacun ses vacances","66, avenue de Breteuil
75007 PARIS",Fonctionnement,2000.00,FILLON,François,Paris,"Les Républicains",157-01,PA1310
"A chacun Son Cirque (Festival Contentpourien)","4 rue des Tournesols
78200 Buchelay",Fonctionnement,5000.00,DESCAMPS-CROSNIER,Françoise,Yvelines,"Socialiste, républicain et citoyen",224-02,PA609435
"A Chacun son sport    ACSS",Marseille,Fonctionnement,1000.00,TEISSIER,Guy,Bouches-du-Rhône,"Les Républicains",163-01,PA2796
"A Ciocoula",Menton,Fonctionnement,1000.00,GUIBAL,Jean-Claude,Alpes-Maritimes,"Les Républicains",205-06,PA1574
