nomAttribuant,idAttribuant,dateConvention,referenceDecision,idBeneficiaire,nomBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriodeVersement,IdRAE,notificationUE,pourcentageSubvention
Conseil Départemental de la Vendée,22850001300658,2017-09-08,2-11,39830048300011,Association Marie Brisson,Travaux réhabilitation EHPAD Union Chrétienne  Fontenay-le-Comte,24 975,00,aide en numéraire,1er acompte de 10 % sur  présentation du certificat de début des travaux. 2eme acompte de 10 % apres réalisation de 20 % des travaux. 3eme acompte de 40 % apres réalisation,2017-09-30_2021-06-30,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-09-08,2-11,54585028100027,SA d'HLM Vendée Logement esh,Construction EHPAD ADMR Guériniere,102 991,50,aide en numéraire,1er acompte de 10 % sur  présentation du certificat de début des travaux. 2eme acompte de 10 % apres réalisation de 20 % des travaux. 3eme acompte de 40 % apres réalisation,2017-09-30_2019-03-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-09-08,2-11,78639882600010,EHPAD Saint-Gabriel,Travaux réhabilitation EHPAD Saint-Gabriel Cugand,78 796,20,aide en numéraire,1er acpte de 10 % sur  présentation du certificat de début des travaux 2eme acpte de 10 % apres réalisation de 20 % des travaux. 3eme acpte de 40 % apres réalisation de 50 % des travaux. Solde de 40 % sur présentation du certificat fin des travaux,2017-10-31_2020-10-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-09-29,IV-A 1,48825683500023,ASSOCIATION GEO VENDEE,Subvention pour les Plans de corps de rues simplifiés,191 900,00,aide en numéraire,1er versement : 150 000€ 2eme versement : 41 900€ sur factures,2017-09-29_2018-09-30,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,35191292800030,Club La Roche-sur-Yon Vendée Football,Sports Collectifs de Haut Niveau 2017/2018,39 609,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,35274950100016,Vendée Challans Basket,Sports Collectifs de Haut Niveau 2017/2018,86 994,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,35274950100016,Vendée Challans Basket,Sports Collectifs de Tres Haut Niveau 2017/2018,50 000,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,38256926700018,Vendée Fontenay Foot,Sports Collectifs de Haut Niveau 2017/2018,50 058,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,38256926700018,Vendée Fontenay Foot,Sports Collectifs de Tres Haut Niveau 2017/2018,25 000,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,40238388900019,Hockey Glace Yonnais,Sports Collectifs de Haut Niveau 2017/2018,31 917,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
