nomAttribuant,idAttribuant,dateConvention,referenceDecision,idBeneficiaire,nomBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriodeVersement,IdRAE,notificationUE,pourcentageSubvention;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-A 4,32416633900055,LES ARTS FLORISSANTS,subvention de fonctionnement de l'association pour l'année 2018,100 000,00,aide en numéraire,unique,2018-04-01_2018-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-A 4,35123272300012,Association Le Refuge de Grasla,subvention pour le fonctionnement de l'association en 2018,28 000,00,aide en numéraire,Accompte a la notification de la convention; solde a la notification de l'avenant1,2018-04-01_2018-12-31,,non,1;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-A 4,35326470800044,Simphonie du Marais Hugo Reyne,subvention de fonctionnement pour l'année 2018,80 000,00,aide en numéraire,unique,2018-04-01_2018-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-A 4,42141605800012,Institut Musical de Vendée,subvention de fonctionnement pour l'année 2018,46 600,00,aide en numéraire,30% a la modification de la convention ; 40% a l'issue du festival ; 30% sur présentation du budget définitif.,2018-04-01_2018-12-31,,non,1
"Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-A 4,42312708300016,Association des Petites Cités de Caractere de la Vendée,la participation au fonctionnement de l'association pour l'année 2018 et a l'organisation de la 20eme édition du festival ""Les Nuits Musicales en Vendée Romane"".,39 000,00,aide en numéraire,50% a la notification de la convention "; 50% sur présentation du budget définitif.,2018-04-01_2018-12-31,,non,1;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-A 4,43298898800031,Compagnie Outre Mesure,subvention de fonctionnement année 2018,26 000,00,aide en numéraire,30 % a la modification de la convention ; 70% sur présentation du budget définitif.,2018-04-01_2018-12-31,,non,1;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-A 4,49274872800010,Association le Refuge du Livre - CO du salon du livre vendéen,subvention pour le salon du livre vendéen année 2018,37 000,00,aide en numéraire,50% a la notification de la convention ; 50% sur présentation du budget définitif.,2018-04-01_2018-12-31,,non,1;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-A 4,49928593000016,Association Terres de l'Île Chauvet,subvention pour le fonctionnement de l'association et la réalisation du festival de l'Ile de Chauvet,40 000,00,aide en numéraire,30% a la notificationde la convention ; 40% a l'issue du festival ; 30% sur présentation du budget définitif.,2018-04-01_2018-12-31,,non,1
"Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-A 4,53862368700018,Organisateurs et Amis du Festival Danses et Musiques du Monde - Cugand,Aide a la réalisation du festival ""Globe & Folk"" de Cugand,70 000,00,aide en numéraire,30% a la notification de la convention "; 40% a l'issue du festival : 30% sur présentation du budget définitif.,2018-04-01_2018-12-31,,non,1;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-C 1,33025395600032,Sports Nautiques Sablais,ORGANISATION DU MONDIAL J80,30 000,00,aide en numéraire,1er paiement :  50% apres notification de la convention signée 2eme paiement : 50% selon bilans financiers,2018-03-27_2019-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-C 1,40352920900021,Vendée U Pays de la Loire,SAISON CYCLISTE 2018 VENDEE U,87 600,00,aide en numéraire,1er paiement : 40% apres notification convention signée 2eme paiement : Solde selon bilans financiers,2018-02-21_2019-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-C 1,41841362100016,Comité d'Organisation du Tour de Vendée,ORGANISATION TOUR DE VENDEE 2018,92 300,00,aide en numéraire,1er paiement : 50 % apres signature de la convention 2eme paiement : 50 % selon bilans financiers,2018-03-27_2019-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-C 1,42863644300015,Association Les Amis du Gois,LES FOULEES DU GOIS,42 800,00,aide en numéraire,1er paiement :  50% apres notification de la convention signée 2eme paiement : 50% selon bilans financiers,2018-03-27_2019-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,I-C 1,50339785300014,Association Compétitions Équestres Vendée,COMPETITIONS EQUESTRES VENDEE,23 900,00,aide en numéraire,1er paiement :  50% apres notification de la convention signée 2eme paiement : 50% selon bilans financiers,2018-03-27_2019-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,III-E 1,32834053400010,Institut L'Aubépine,Subvention de fonctionnement de l'Institut L'Aubépine pour l'année 2018,32 400,00,aide en numéraire,- autre : 22680 € apres signature et 9720 € sur présentation rapport activités 2018,22680 € : 2018-05-30 et 9720 € : 2018-06-30,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22, IIIF 1,78644714400027,Fédération Départementale des Maisons Familiales Rurales,SUBVENTION DE FONCTIONNEMENT 2018,108 912,00,aide en numéraire,autre : 2 acomptes (70 % a la signature de la convention et 30 % a la remise d'un rapport d'activité 2017-2018),2018-03-22_2018-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,III F 1,37920430800033,ICES - INSTITUT CATHOLIQUE D'ETUDES SUPERIEURES,ICES EXTENSION DES LOCAUX,1 500 000,00,aide en numéraire,autre : 25% a la signature de la convention - autres acomptes en fonction travaux dans la limite de 1 200 000 € et solde a l'achevement des travaux,2018-03-22_2022-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,IIIF 1,37920430800033,ICES - INSTITUT CATHOLIQUE D'ETUDES SUPERIEURES,Subvention de fonctionnement 2018,2 270 000,00,aide en numéraire,autre : acompte de 70 % a la signature de la convention - acompte de 20 % en juin 2018 et solde de 10 % a la remise d'un rapport d'activité de l'année 2017-2018,2018-03-22_2018-12-31,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,IV-A 3,31197654200028,OFFICES DE TOURISME VENDEE (Union Départementale),fonctionnement pour l'année 2018,32 400,00,aide en numéraire,Paiement d'un acompte de 32 400 € a la signature de la convention ; le solde sur présentation du compte rendu d'activités et du compte de résultat de l'exercice 2017.,2018-02-20_2018-03-30,,non,1;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,IV-A 3,31994918600021,CONSEIL ARCHITECTURE ET URBANISME DE L'ENVIRONNEMENT,fonctionnement pour l'année 2018,511 500,00,aide en numéraire,Versement d'un acompte de 661 500 € a la signature de la convention et le solde le 1er juillet 2018,2018-02-20_2018-07-01,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,IV-A 3,54665016900057,VENDEE EXPANSION,Participation et subvention au fonctionnement et aux actions pour l'année 2018,1 387 903,00,aide en numéraire,Paiement d'un acompte de 1 350 000 € a la signature de la convention, d'un 2eme acompte le 1er juillet 2018 et le solde en octobre 2018,2018-02-20_2018-10-01,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,IV-F 3,78644020600021,Fédération de Vendée pour la Peche et la Protection du milieu aquatique,Lutte contre les especes aquatiques envahissantes campagne 2018,25 000,00,aide en numéraire,acompte 50 % a la signature de la convention solde sur présentation du bilan et du compte de résultat 2018,2018-01-01_2019-06-30,,non,1;;
Conseil Départemental de la Vendée,22850001300658,2018-03-22,IV-H 2,38945668200019,SOCIETE COOPERATIVE AGRICOLE MOUTON VENDEEN,Participation au salon international de l'agriculture 2018,26 000,00,aide en numéraire,1er paiement : 50% au retour de la convention signée ; 2eme paiement (solde) selon justificatifs actions réalisées,2018-03-22_2019-12-31,,non,1;
